municipio,provincia,x,y
Pedernales,Pedernales,18.036389,-71.744963
Pedro Santana,Elias Pina,19.103473,-71.697125
Constanza,La Vega,18.9124576,-70.7533086
La Vega,La Vega,19.218736,-70.523055
Ocoa,Ocoa,18.543809,-70.504463
Padre Las Casas,Azua,18.730599,-70.941789
Restauracion ,Dajabon,19.316595,-71.695746
Oviedo,Pedernales,17.80161,-71.40134
Jarabacoa,La Vega,19.133514,-70.620677
Piedra Blanca,Monsenor Nouel,18.842573,-70.316588
EL LLANO,Elias Pina,18.852099,-71.631566
Pedro Santana,Elias Pina,19.105362,-71.695543
Dajabon,Dajabon,19.550129,-71.706315
Descubierta,Independencia,18.569952,-71.72583
Partido,Dajabon,19.476571,-71.544585
Bonao,Monsenor Nouel,18.93066,-70.408349
Villa Altagracia,San Cristobal,18.669566,-70.168841
Comendador,Elias Pina,18.876266,-71.703097
Duverge,Independencia,18.378692,-71.524812
Banica,Elias Pina,19.080983,-71.704642
Galvan,Bahoruco,18.502742,-71.342311
Hondo Valle,Elias Pina,18.714838,-71.695372
Loma de Cabrera,Dajabon,19.419903,-71.612857
Azua,Azua,18.45308,-70.735505
Pepillo Salcedo,Monte Cristi,19.696347,-71.741924
Barahona,Barahona,18.211578,-71.102354
Luperon,Puerto Plata,19.893386,-70.961208
Puerto Plata,Puerto Plata,19.781852,-70.686255
Veron,La Altagracia,18.60189,-68.435799
